Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,Address,BldgClass,LandUse,OwnerType,OwnerName,LotArea,HistDist,Landmark,BBL,Vacant,SoftSite,Adjacency
MN,"1634","9","111","172","3001","04","8","10029",115 EAST 106 STREET,M1,"08",X,GOOD NEIGHBOR ETAL,"6728",,,1016340009.00000000000,,"1",soft only
MN,"1943","15","110","201.02","4001","03","9","10026",391 MANHATTAN AVENUE,M1,"08",X,PEOPLES COMMUNITY TEM,"900",,,1019430015.00000000000,,,
MN,"1440","43","108","118","5000","02","5","10065",320 EAST 66 STREET,M4,"08",,ST JOHN NEPOMUCENE CHURCH,"1883",,,1014400043.00000000000,,,
MN,"1118","29","107","149","2000","03","6","10023",51 CENTRAL PARK WEST,M1,"08",X,EV LUTH CH HOLY TRINI,"7155",Upper West Side / Central Park West Historic District,,1011180029.00000000000,,,
MN,"2051","74","109","227","3001","05","9","10030",199 EDGECOMBE AVENUE,M1,"08",X,ST STEPHENS CHURCH,"1667",,,1020510074.00000000000,,,
MN,"1750","5","111","198","1001","05","9","10035",13 EAST 125 STREET,M1,"08",X,HOLY GHOST PNTCSTL ETAL,"2998",,,1017500005.00000000000,,,
MN,"864","47","106","74","1000","02","2","10016",34 EAST 35 STREET,M1,"08",X,THE COMMUNITY CHURCH OF NY,"9000",,,1008640047.00000000000,,,
MN,"1501","27","108","150.02","1001","02","4","10128",65 EAST 89 STREET,M3,"08",X,RC CHUR OF ST THOMAS,"5147",,,1015010027.00000000000,,,
MN,"1494","129","108","142","1001","02","4","10028",65 EAST 82 STREET,M9,"08",X,CHURCH/SCIENTOLOGY ETAL,"2043",,,1014940129.00000000000,,,
MN,"1938","24","110","226","3001","05","9","10027",221 WEST 132 STREET,M3,"08",X,RC CHUR ST ALOYSIUS,"2401",,,1019380024.00000000000,,,
MN,"191","16","101","33","2003","02","1","10013",245 WEST BROADWAY,M1,"08",X,NUR ASHKI JERRAHI COMMUNITY,"1875",,,1001910016.00000000000,,,
MN,"2058","26","109","227","1003","06","7","10031",472 WEST 142 STREET,M3,"08",X,RC CH OUR LADY OF LOU,"3197",Hamilton Heights Historic District,,1020580026.00000000000,,,
MN,"859","5","105","74","3002","02","4","10016",1 EAST 29 STREET,M3,"08",X,THE CHURCH OF THE TRANSFIGURATION,"2469",,INDIVIDUAL LANDMARK,1008590005.00000000000,"1",,vacant onl
MN,"1940","56","110","228","3001","05","9","10030",262 WEST 135 STREET,M1,"08",,FAITHFUL WORKERS CHRIST CHURCH OF GOD IN C.,"2898",,,1019400056.00000000000,"1",,vacant onl
MN,"1923","52","110","218","4001","03","9","10026",262 WEST 118 STREET,M3,"08",,118TH STREET RECTORY LLC,"2523",,,1019230052.00000000000,,,
MN,"1624","10","111","158.02","1001","02","5","10128",135 EAST 96 STREET,M3,"08",X,RC CH ST FRANCIS DE S,"1386",,,1016240010.00000000000,,,
MN,"1675","27","111","164","1000","04","8","10029",2011 1 AVENUE,M9,"08",X,EAST-WARD MISSIONARYETC,"5050",,,1016750027.00000000000,"1",,vacant onl
MN,"1222","61","107","177","3000","03","6","10025",649 AMSTERDAM AVENUE,M1,"08",X,CENTRAL BAPTIST CHURCH,"10700",,,1012220061.00000000000,,,
MN,"1131","31","107","145","1001","03","3","10023",120 WEST 60 STREET,M1,"08",X,UNAVAILABLE OWNER,"38095",,INDIVIDUAL LANDMARK,1011310031.00000000000,,,
MN,"1665","39","111","188","3001","04","8","10029",226 EAST 116 STREET,M1,"08",,SPANISH-AMER GOSPELFDTN,"1892",,,1016650039.00000000000,,,
MN,"1806","29","111","178","1000","04","8","10035",446 EAST 119 STREET,M4,"08",X,RC CHUR HOLY ROSARY,"5382",,,1018060029.00000000000,,,
MN,"1533","8","108","146.02","1000","02","5","10128",217 EAST 87 STREET,M1,"08",X,CORPORATION OF THE PRESIDING BISHOP,"9085",,,1015330008.00000000000,,,
MN,"1036","37","104","121","5000","02","3","10036",308 WEST 46 STREET,M1,"08",X,UNAVAILABLE OWNER,"9225",,,1010360037.00000000000,,,
MN,"285","21","103","6","3000","02","1","10002",209 EAST BROADWAY,M1,"08",X,GENL COUNC PRIM CHR C,"4375",,,1002850021.00000000000,,,
MN,"1639","46","111","172","1000","04","8","10029",160 EAST 112 STREET,M1,"08",X,CHRIST APOSTOLIC CHURCH,"2523",,,1016390046.00000000000,,,
MN,"885","71","105","72","3001","02","2","10016",154 LEXINGTON AVENUE,M1,"08",X,FIRST MORAVIAN CHURCH,"3950",,,1008850071.00000000000,,,
MN,"1943","114","110","201.02","4001","03","9","10026",389 MANHATTAN AVENUE,M2,"08",,PEOPLES COMMNTY TEMPLE,"900",,,1019430114.00000000000,,,
MN,"1722","26","110","200","2001","05","9","10027",21 WEST 124 STREET,M9,"08",,HARLEM LLC,"2523",,,1017220026.00000000000,,,
MN,"1736","7","110","212","1000","05","9","10037",65 WEST 138 STREET,M3,"08",X,RC CHUR ST MARK THE E,"1998",,,1017360007.00000000000,,,
MN,"1920","62","110","228","2000","05","9","10030",2315 ADAM C POWELL BLVD,M1,"08",X,TWELFTH CHURCH ETC,"1500",,,1019200062.00000000000,,,
MN,"924","58","106","48","6000","02","2","10003",314 EAST 19 STREET,M9,"08",,MANHATTAN MENNONITEFELLOWSHIP,"1920",,,1009240058.00000000000,,,
MN,"1388","21","108","130","2000","02","4","10021",921 MADISON AVENUE,M9,"08",X,MADISON PRESB CHUR&CH,"14371",Upper East Side Historic District,,1013880021.00000000000,,,
MN,"1662","35","111","180","4001","04","8","10029",228 EAST 113 STREET,M1,"08",X,RC CHUR OUT LADY OF A,"12975",,,1016620035.00000000000,,,
MN,"280","22","103","8","1001","02","1","10002",15 MARKET STREET,M1,"08",X,FIRST CHINESE ETAL,"11500",,INDIVIDUAL LANDMARK,1002800022.00000000000,,"1",soft only
MN,"1982","49","109","219","1015","05","7","10027",13 OLD BROADWAY,M1,"08",X,CHEVRA TALMUND TORAH,"2508",,,1019820049.00000000000,,,
MN,"2131","8","112","261","1001","06","10","10033",1294 ST NICHOLAS AVENUE,M1,"08",X,RC CHUR OF INCARNATIO,"10500",,,1021310008.00000000000,,,
MN,"2110","1","112","243.01","2000","06","10","10032",2061 AMSTERDAM AVENUE,M9,"08",,"MOUNT CALVARY PENTECOSTAL CHURCH,","10312",,,1021100001.00000000000,"1",,vacant onl
MN,"1937","10","110","226","3003","05","9","10027",255 WEST 131 STREET,M1,"08",,ADVENT SABBATH CHURCH,"1699",,,1019370010.00000000000,,,
MN,"1967","16","109","213.03","2003","05","7","10027",411 WEST 126 STREET,M1,"08",X,"DE LA FE, TABERNACULO","4150",,,1019670016.00000000000,,,
MN,"1681","46","111","180","2002","04","8","10029",306 EAST 110 STREET,M1,"08",X,RC CHUR OF ST ANN,"8912",,,1016810046.00000000000,,,
MN,"1128","7","107","161","3000","03","6","10023",51 WEST 75 STREET,M9,"08",X,HEPHZIBAH HOUSE & BIB,"2350",Upper West Side / Central Park West Historic District,,1011280007.00000000000,,,
MN,"2027","24","110","230","4000","05","9","10030",211 WEST 141 STREET,M3,"08",X,RC CH ST CHARLES BORR,"2498",,,1020270024.00000000000,,,
MN,"1932","29","110","224","2002","05","9","10027",2122 ADAM C POWELL BLVD,M9,"08",C,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,"12490",,,1019320029.00000000000,,,
MN,"1749","22","111","198","1003","05","9","10035",1935 MADISON AVENUE,M9,"08",X,1ST CHUR CHRIST HOLIN,"1870",,,1017490022.00000000000,,,
MN,"2023","160","110","228","4000","05","9","10030",252 WEST 138 STREET,M1,"08",X,VICTORY TABERNACLE,"2529",,,1020230160.00000000000,,,
MN,"2069","46","109","235.01","1001","06","9","10032",876 ST NICHOLAS AVENUE,M9,"08",X,HWAY CHRISTIAN CH CHRIST,"3402",,,1020690046.00000000000,,,
MN,"1666","15","111","188","3000","04","8","10029",233 EAST 116 STREET,M1,"08",X,FIRST SHARON BPTST CHRCH,"4037",,,1016660015.00000000000,,,
MN,"885","32","106","72","4001","02","2","10016",135 EAST 29 STREET,M1,"08",X,ADERETH EL CONGR,"2469",,,1008850032.00000000000,,,
MN,"2157","76","112","269","6001","06","10","10033",582 WEST 187 STREET,M1,"08",X,HOLY CROSS CH ARMENIA,"2500",,,1021570076.00000000000,,,
MN,"895","10","106","80","2002","02","4","10016",109 EAST 39 STREET,M9,"08",X,JEWISH SCIENCE ETC.,"2469",,,1008950010.00000000000,,,
MN,"2084","39","109","237","3007","06","7","10031",506 WEST 153 STREET,M3,"08",X,CHURCH ST CATHERINEETC,"2498",,,1020840039.00000000000,,,
MN,"2084","37","109","237","3007","06","7","10031",504 WEST 153 STREET,M1,"08",X,CHURCH/ST. CATHERINEETC,"4996",,,1020840037.00000000000,,,
MN,"1629","103","111","166","4001","04","8","10029",111 EAST 101 STREET,M9,"08",X,IGLESIA PRSBYD ESTE,"1163",,,1016290103.00000000000,,,
MN,"1118","1","107","149","2000","03","6","10023",125 COLUMBUS AVENUE,M1,"08",X,CORPORATION OF THE PRESIDING BISHOP,"25104",,,1011180001.00000000000,,,
MN,"2064","9","109","231","2000","06","7","10031",451 WEST 149 STREET,M1,"08",X,UNAVAILABLE OWNER,"19984",,,1020640009.00000000000,,,
MN,"2221","9","112","291","7000","06","10","10034",161 SHERMAN AVENUE,M1,"08",X,PENTECOSTAL CHURCH ETAL,"8000",,,1022210009.00000000000,,,
MN,"1220","53","107","173","3000","03","6","10024",138 WEST 90 STREET,M1,"08",X,RC CH ST GREGORY THE,"10067",,,1012200053.00000000000,"1","1",both
MN,"1831","33","110","218","3000","03","9","10026",1912 ADAM C POWELL BLVD,M1,"08",X,1ST CORINTHIAN BAPTST CH,"14532",,INDIVIDUAL LANDMARK,1018310033.00000000000,,,
MN,"1754","65","111","206","1002","05","9","10037",12 EAST 130 STREET,M1,"08",X,KELLY TEMPLE CHURCH OF GOD IN CHRIS,"6750",,,1017540065.00000000000,"1",,vacant onl
MN,"1325","15","106","98","2001","02","4","10022",223 EAST 51 STREET,M1,"08",X,SUTTON PL SYNAGOGUE,"6030",,,1013250015.00000000000,,,
MN,"1453","24","108","134","3000","02","5","10075",1499 1 AVENUE,M9,"08",X,EAST MAN CONG JEHOVAH,"2955",,,1014530024.00000000000,,,
MN,"1915","64","110","226","2001","05","9","10027",2207 ADAM C POWELL BLVD,M9,"08",X,"GLAD TIDINGS TABERNACLE, INC.","5400",,,1019150064.00000000000,"1",,vacant onl
MN,"414","27","103","18","7000","02","1","10002",280 BROOME STREET,M1,"08",X,"KEDUSHA, KEHILA OF JANINA","1500",,INDIVIDUAL LANDMARK,1004140027.00000000000,,,
MN,"1991","32","109","205","1004","03","7","10027",481 RIVERSIDE DRIVE,M1,"08",X,THE RIVERSIDE CHURCH,"76371",,INDIVIDUAL LANDMARK,1019910032.00000000000,,,
MN,"1164","43","107","159","5001","03","6","10023",234 WEST 73 STREET,M1,"08",X,RUTGERS PRESBYTERIAN,"5418",West End-Collegiate Historic District Extension,,1011640043.00000000000,,,
MN,"448","5","103","38","6000","01","2","10003",112 2 AVENUE,M1,"08",X,REF PROT DUTCH CHURCH,"6500",East Village / Lower East Side Historic District,,1004480005.00000000000,,,
MN,"2215","603","208","309","2000","10","10","10463",5233 BROADWAY,M1,"08",X,CAROLINA BAPTIST CHURCH,"2500",,,1022150603.00000000000,"1",,vacant onl
MN,"633","50","102","75","3001","02","3","10014",306 WEST 11 STREET,M9,"08",X,KHANIGAHI NIMATULLAHI NY,"2375",Greenwich Village Historic District,,1006330050.00000000000,,,
MN,"1825","8","110","218","2000","03","9","10026",141 WEST 115 STREET,M1,"08",X,MEMORIAL BAPT CHUR OF,"6055",,,1018250008.00000000000,,,
MN,"1662","40","111","180","4001","04","8","10029",224 EAST 113 STREET,M3,"08",X,RC CHUR OUR LADY OF A,"3028",,,1016620040.00000000000,,,
MN,"1905","111","110","220","1001","03","9","10027",141 WEST 120 STREET,M1,"08",X,CH OF ILLUMINATION,"2018",Mount Morris Park Historic District Extension,,1019050111.00000000000,,,
MN,"336","17","103","12","1007","01","1","10002",7 BIALYSTOKER PLACE,M1,"08",X,CONG BETH HAKNESSES,"7373",,INDIVIDUAL LANDMARK,1003360017.00000000000,,"1",soft only
MN,"346","37","103","14.02","1005","02","1","10002",60 NORFOLK STREET,M1,"08",,"BETH MEDRASH HAGODOL OF NEW YORK RESTORA TION, INC.","7438",,INDIVIDUAL LANDMARK,1003460037.00000000000,,"1",soft only
MN,"435","42","103","32","1001","01","2","10009",121 EAST 7 STREET,M1,"08",X,ST MARY AMER ORTH GR,"2145",East Village / Lower East Side Historic District,,1004350042.00000000000,,,
MN,"574","48","102","63","2001","02","3","10011",7 WEST 10 STREET,M3,"08",X,CHURCH OF TH ASCENSIO,"2370",Greenwich Village Historic District,,1005740048.00000000000,,,
MN,"605","33","102","69","1000","02","3","10014",483 HUDSON STREET,M1,"08",X,THE BOARD OF MANAGERS OF THE DIOCESAN MI SSIONARY ETC.,"15625",Greenwich Village Historic District,,1006050033.00000000000,,,
MN,"619","78","102","73","4001","02","3","10014",81 CHRISTOPHER STREET,M1,"08",X,ST JOHNS GERMAN CHUR,"6595",Greenwich Village Historic District,,1006190078.00000000000,,,
MN,"619","80","102","73","4001","02","3","10014",83 CHRISTOPHER STREET,M9,"08",X,ST JOHNS LUTHERAN CHURCH,"1259",Greenwich Village Historic District,,1006190080.00000000000,,,
MN,"818","24","105","54","1005","02","3","10011",19 WEST 16 STREET,M9,"08",X,"YESHE NYING PO, INCORP","2300",,INDIVIDUAL LANDMARK,1008180024.00000000000,,,
MN,"1184","3","107","159","1001","03","6","10023",1 RIVERSIDE DRIVE,M1,"08",X,ISLAMIC CENTER OF NEW YORK,"2500",West End-Collegiate Historic District Extension,INDIVIDUAL LANDMARK,1011840003.00000000000,,,
MN,"1197","20","107","169","5000","03","6","10024",7 WEST 83 STREET,M1,"08",X,CONG RODOLPH SHALOR,"16347",Upper West Side / Central Park West Historic District,,1011970020.00000000000,,,
MN,"1905","4","110","220","1001","03","9","10027",2011 ADAM C POWELL BLVD,M9,"08",X,"MOUNT PLEASANT CHRISTIAN ASSOCIATES, INC","1309",,,1019050004.00000000000,,,
MN,"1402","30","108","120","1000","02","4","10065",163 EAST 67 STREET,M1,"08",X,CONG ZICHRON EPHRAIM,"7029",,INDIVIDUAL LANDMARK,1014020030.00000000000,"1",,vacant onl
MN,"1720","3","110","200","1000","03","9","10027",206 LENOX AVENUE,M1,"08",X,FAITH TEMPLE DELIV ETC,"1600",Mount Morris Park Historic District,,1017200003.00000000000,"1",,vacant onl
MN,"1892","59","107","195","2001","03","6","10025",322 WEST 108 STREET,M1,"08",,NOUR FOUNDATION,"2523",Riverside-West End Historic District Extension II,,1018920059.00000000000,,,
MN,"1904","57","110","220","2000","03","9","10027",160 WEST 120 STREET,M1,"08",X,"EMMAUS HOUSE, INC.","1682",Mount Morris Park Historic District Extension,,1019040057.00000000000,,,
MN,"1906","32","110","220","1000","03","9","10027",229 LENOX AVENUE,M1,"08",,229 LEXON AVENUE HOLDING LLC,"2500",Mount Morris Park Historic District,,1019060032.00000000000,,,
MN,"1915","38","110","226","2001","05","9","10027",104 WEST 131 STREET,M1,"08",,"LEOCAMOLI REALTY,LLC","1665",Central Harlem West -- 130-132nd Street Historic District,,1019150038.00000000000,,,
MN,"1915","41","110","226","2001","05","9","10027",112 WEST 131 STREET,M1,"08",X,2ND BETHESDA BAPTIST,"1665",Central Harlem West -- 130-132nd Street Historic District,,1019150041.00000000000,,,
MN,"1916","24","110","226","2000","05","9","10027",115 WEST 131 STREET,M1,"08",X,NEW TESTAMENT BAPT CH,"1799",Central Harlem West -- 130-132nd Street Historic District,,1019160024.00000000000,,,
MN,"2050","84","109","227","2001","06","7","10031",4 HAMILTON TERRACE,M3,"08",X,THE BOARD OF MANAGERS OF THE DIOCESAN MI SSIONARY A,"1700",Hamilton Heights Historic District,,1020500084.00000000000,"1",,vacant onl
MN,"2136","53","112","247","2000","06","7","10032",23 FT WASHINGTON AVENUE,M1,"08",X,PARADISE BAPTIST CHURCH,"10100",,,1021360053.00000000000,,"1",soft only
MN,"2059","48","109","227","1000","06","7","10031",348 CONVENT AVENUE,M1,"08",X,CONVENT AVE BAPTISTCH,"1890",Hamilton Heights Historic District,,1020590048.00000000000,,,
MN,"2059","51","109","227","1000","06","7","10031",356 CONVENT AVENUE,M9,"08",,CONVENT AV BAPT CHUR,"1880",Hamilton Heights Historic District,,1020590051.00000000000,,,
MN,"2143","38","112","263","3001","06","10","10033",21 WADSWORTH AVENUE,M1,"08",X,FT WASHINGTON PRESBY,"10000",,INDIVIDUAL LANDMARK,1021430038.00000000000,,,
MN,"1038","23","104","127","2000","02","3","10036",315 WEST 47 STREET,M9,"08",X,SALVATION ARMY,"10042",,,1010380023.00000000000,,,
MN,"1038","13","104","127","2000","02","3","10036",339 WEST 47 STREET,M1,"08",X,"CONGREGATION EZRATH ISRAEL, D/B/A ACTORS  TEMPLE","2516",,,1010380013.00000000000,,,
MN,"574","44","102","63","2001","02","3","10011",36 5 AVENUE,M1,"08",X,CHURCH OF THE ASCENSI,"11517",Greenwich Village Historic District,,1005740044.00000000000,,,
MN,"286","31","103","2.01","1000","01","1","10002",239 EAST BROADWAY,M9,"08",,CONGREGATION AUSTRIA HUNGARY,"2071",,,1002860031.00000000000,,,
MN,"1982","7","109","219","1015","05","7","10027",541 WEST 125 STREET,M1,"08",X,"UNITED PENTECOSTAL CHURCH OF GREATER NEW  YORK, INC","5000",,,1019820007.00000000000,,,
MN,"2175","149","112","287","3001","06","10","10040",91 ARDEN STREET,M3,"08",X,RC CHUR LADY QN MARTY,"3060",,,1021750149.00000000000,,,
MN,"2121","58","112","243.01","3001","06","7","10032",2086 AMSTERDAM AVENUE,M1,"08",X,MANHATTAN SPANISH FREE METHODIST CH,"2000",,,1021210058.00000000000,"1",,vacant onl
MN,"196","27","101","31","1001","02","1","10013",84 WALKER STREET,M1,"08",,NEW YORK CHINESE ETC,"2226",,,1001960027.00000000000,,,
MN,"1594","41","110","186","2001","03","9","10026",6 WEST 111 STREET,M1,"08",X,LA HERMOSA CHURCH,"14482",,,1015940041.00000000000,,,
MN,"1891","40","107","191","1003","03","6","10025",331 RIVERSIDE DRIVE,M1,"08",X,NEW YORK BUDDHIST CHURCH,"2500",Riverside-West 105th Street Historic District,,1018910040.00000000000,,,
MN,"1891","41","107","191","1003","03","6","10025",332 RIVERSIDE DRIVE,M1,"08",X,N Y BUDDIST CHURCH,"2300",Riverside-West 105th Street Historic District,,1018910041.00000000000,,,
MN,"517","11","102","49","3001","02","3","10012",155 SULLIVAN STREET,M1,"08",X,CHURCH OF ST ANTHONY PADUA,"12525",Sullivan-Thompson Historic District,,1005170011.00000000000,"1","1",both
MN,"385","30","103","22.02","1001","01","2","10009",250 EAST 3 STREET,M1,"08",X,IGLESIA PENTECOASTAL EL DIVINO,"4671",,,1003850030.00000000000,,,
MN,"911","44","106","70","2001","02","2","10016",238 EAST 31 STREET,M1,"08",X,EPISCPL CHRCH GOOD SHPR,"5722",,,1009110044.00000000000,,,
MN,"1879","18","107","195","4000","03","7","10025",219 WEST 107 STREET,M1,"08",X,RC CHUR OF ASCENSION,"17925",,,1018790018.00000000000,,,
MN,"2050","37","109","227","2000","06","7","10031",341 CONVENT AVENUE,M9,"08",X,CONVENT AVE BAPTIST C,"7960",Hamilton Heights Historic District,,1020500037.00000000000,,,
MN,"1506","13","108","160.01","4001","02","4","10128",19 EAST 94 STREET,M9,"08",X,"RAMAKRISHNA-VIVEKANANDA CENTER/NEW YORK,  INC.","3921",Carnegie Hill Historic District,,1015060013.00000000000,,,
MN,"878","34","106","68","4001","02","2","10010",155 EAST 22 STREET,M3,"08",X,GUSTAVUS ADOLPHUS LUTHERAN CHURCH,"1975",,,1008780034.00000000000,,,
MN,"2180","309","112","279","1001","06","10","10040",4381 BROADWAY,M1,"08",X,CONG MT SINAI ANSHE E,"18800",,,1021800309.00000000000,,,
MN,"341","26","103","14.02","2007","01","1","10002",440 GRAND STREET,M1,"08",X,R C CHRUCH OF ST MARY,"26370",,,1003410026.00000000000,,"1",soft only
