bbl,10_bldgclass,10_lotarea,10_bldgarea,10_histdist,10_landmark,10_ownername,11_bldgclass,11_lotarea,11_bldgarea,11_histdist,11_landmark,11_ownername,12_bldgclass,12_lotarea,12_bldgarea,12_histdist,12_landmark,12_ownername,13_bldgclass,13_lotarea,13_bldgarea,13_histdist,13_landmark,13_ownername,14_bldgclass,14_lotarea,14_bldgarea,14_histdist,14_landmark,14_ownername,15_bldgclass,15_lotarea,15_bldgarea,15_histdist,15_landmark,15_ownername,16_bldgclass,16_lotarea,16_bldgarea,16_histdist,16_landmark,16_ownername,17_bldgclass,17_lotarea,17_bldgarea,17_histdist,17_landmark,17_ownername,18_bldgclass,18_lotarea,18_bldgarea,18_histdist,18_landmark,18_ownername,19_bldgclass,19_lotarea,19_bldgarea,19_histdist,19_landmark,19_ownername,20_bldgclass,20_lotarea,20_bldgarea,20_histdist,20_landmark,20_ownername,cd_x,address_x,xcoord_x,ycoord_x,dob_permits,dob_A1,dob_A2,dob_A3,dob_NB,dob_DM,dob_ALL,council,builtfar,residfar,commfar,facilfar,unbuiltfar,vacant,softsite,adjacency
1003780043,M1,6574,10350,                                        ,                                   ,8TH AVE SPANISH      ,M1,6574,10350,                                        ,                                   ,8TH AVE SPANISH      ,M1,6574,10350,                                        ,                                   ,8TH AVE SPANISH      ,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,                                        ,                                   ,8TH AVE SPANISH      ,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,,,8TH AVE SPANISH,M1,6574,10350,,,8TH AVE SPANISH,103.0,393 EAST 8 STREET,990762.0,203095.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2007-09-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'FB', 'date': '1998-12-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2007-06-22T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2007-06-26T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '1998-12-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2007-09-10T00:00:00.000', 'filing_status': 'INITIAL'}]",0,3,3,0,0,6,2.0,1.57,4.0,0.0,4.0,2.43,,,
1003820022,M1,60505,11500,                                        ,                                   ,ST EMERIC R C CHURCH ,M1,60505,11500,                                        ,                                   ,ST EMERIC R C CHURCH ,M1,60505,11500,                                        ,                                   ,ST EMERIC R C CHURCH ,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,                                        ,                                   ,ST EMERIC R C CHURCH ,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,,,ST EMERIC R C CHURCH,M1,60505,11500,,,ST EMERIC R C CHURCH,103.0,181 AVENUE D,991278.0,204028.0,"[{'job_type': 'A2', 'work_type': 'PL', 'date': '2001-03-19T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2011-11-17T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2001-03-19T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2004-09-03T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2001-03-19T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2002-07-24T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2013-09-03T00:00:00.000', 'filing_status': 'INITIAL'}]",1,6,0,0,0,7,2.0,0.19,3.44,0.0,6.5,6.31,,,
1003850030,M1,4671,4865,                                        ,                                   ,CITY OF NEW YORK     ,M1,4671,4865,                                        ,                                   ,CITY OF NEW YORK     ,M1,4671,4865,                                        ,                                   ,CITY OF NEW YORK     ,M1,4671,4865,,,CITY OF NEW YORK,M1,4671,4865,,,IGLESIA PENTECOASTAL,M1,4671,4865,                                        ,                                   ,IGLESIA PENTECOASTAL ,M1,4671,4865,,,IGLESIA PENTECOASTAL,M1,4671,4865,,,IGLESIA PENTECOASTAL,M1,4671,4865,,,IGLESIA PENTECOASTAL,M1,4671,4865,,,IGLESIA PENTECOASTAL EL DIVINO,M1,4671,4865,,,IGLESIA PENTECOASTAL EL DIVINO,103.0,250 EAST 3 STREET,989453.0,202208.0,"[{'job_type': 'A2', 'work_type': 'PL', 'date': '1996-04-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '1996-04-08T00:00:00.000', 'filing_status': 'INITIAL'}]",0,2,0,0,0,2,2.0,1.04,4.0,0.0,4.0,2.96,,,
1003860014,M1,2382,6575,                                        ,                                   ,EMMANUEL SPNSH BAPT C,M1,2382,6575,                                        ,                                   ,EMMANUEL SPNSH BAPT C,M1,2382,6575,                                        ,                                   ,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,                                        ,                                   ,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,M1,2382,6575,,,EMMANUEL SPNSH BAPT C,103.0,256 EAST 4 STREET,989239.0,202618.0,[],0,0,0,0,0,0,2.0,2.76,4.0,0.0,4.0,1.2400000000000002,,,
1003870035,M9,4320,8656,                                        ,                                   ,JEHOVAH'S WITNESSESET,M9,4320,8656,                                        ,                                   ,JEHOVAH'S WITNESSESET,M9,4320,8656,                                        ,                                   ,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESET,M9,4320,8656,                                        ,                                   ,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESET,M9,4320,8656,,,JEHOVAH'S WITNESSESETAL,M9,4320,8656,,,JEHOVAH'S WITNESSESETAL,103.0,65 AVENUE C,989747.0,202595.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2014-10-15T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2007-03-07T00:00:00.000', 'filing_status': 'INITIAL'}]",0,1,1,0,0,2,2.0,2.0,4.0,0.0,4.0,2.0,,,
1003870042,M1,2645,2878,                                        ,                                   ,IGLESIA PENTECOSTAL C,M1,2645,2878,                                        ,                                   ,IGLESIA PENTECOSTAL C,M1,2645,2878,                                        ,                                   ,IGLESIA PENTECOSTAL C,M1,2645,2878,,,IGLESIA PENTECOSTAL C,M1,2645,2878,,,IGLESIA PENTECOSTAL C,M1,2645,2878,                                        ,                                   ,IGLESIA PENTECOSTAL C,M1,2645,2878,,,IGLESIA PENTECOSTAL C,M1,2645,2878,,,IGLESIA PENTECOSTAL C,M1,2645,2878,,,IGLESIA PENTECOSTAL C,M1,2645,2878,,,"IGLESIA PENTECOSTAL CAMINO A DAMASCO, IN C.",M1,2645,2878,,,"IGLESIA PENTECOSTAL CAMINO A DAMASCO, IN C.",103.0,289 EAST 4 STREET,989637.0,202574.0,[],0,0,0,0,0,0,2.0,1.09,4.0,0.0,4.0,2.91,,,
1003870127,P5,2037,4790,                                        ,                                   ,CHURCH OF GOD OF EAST,P5,2037,4790,                                        ,                                   ,CHURCH OF GOD OF EAST,P5,2037,4790,                                        ,                                   ,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST,M1,2037,4790,                                        ,                                   ,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST,M1,2037,4790,,,CHURCH OF GOD OF EAST SIXTH STREET,M1,2037,4790,,,CHURCH OF GOD OF EAST SIXTH STREET,103.0,636 EAST 6 STREET,989704.0,202938.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2011-05-09T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2011-05-25T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'OT', 'date': '2009-01-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2003-07-03T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-03-12T00:00:00.000', 'filing_status': 'INITIAL'}]",2,2,1,0,0,5,2.0,2.35,4.0,0.0,4.0,1.65,,,
1003900052,M1,3880,6983,                                        ,                                   ,EAST SEVENTH BAPTISTM,M1,3880,6983,                                        ,                                   ,EAST SEVENTH BAPTISTM,M1,3880,6983,                                        ,                                   ,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTM,M1,3880,6983,                                        ,                                   ,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTM,M1,3880,6983,,,EAST SEVENTH BAPTISTMINISTRY-GRAFFITTI I NC.,M1,3880,6983,,,EAST SEVENTH BAPTISTMINISTRY-GRAFFITTI I NC.,103.0,207 EAST 7 STREET,989811.0,203332.0,"[{'job_type': 'A2', 'work_type': 'MH', 'date': '2004-03-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-10-31T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-10-31T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2003-12-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'SG', 'work_type': None, 'date': '2007-12-04T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '2003-11-05T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'DM', 'work_type': None, 'date': '1996-01-12T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1995-09-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'PL', 'date': '2001-08-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1995-09-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'PL', 'date': '2001-08-27T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': None, 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'DM', 'work_type': 'EQ', 'date': '1996-01-12T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': None, 'date': '2000-10-16T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': None, 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': None, 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'SP', 'date': '2003-07-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'NB', 'work_type': 'PL', 'date': '2001-08-27T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': None, 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'NB', 'work_type': 'EQ', 'date': '2000-10-16T00:00:00.000', 'filing_status': 'RENEWAL'}]",0,4,4,16,2,27,2.0,1.8,4.0,0.0,4.0,2.2,,,
1003900058,M1,1380,3836,                                        ,                                   ,AGLESIA APOSTOLICA PE,M1,1380,3836,                                        ,                                   ,AGLESIA APOSTOLICA PE,M1,1380,3836,                                        ,                                   ,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,                                        ,                                   ,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,M1,1380,3836,,,AGLESIA APOSTOLICA PE,103.0,195 EAST 7 STREET,989709.0,203373.0,"[{'job_type': 'A2', 'work_type': 'OT', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '2011-03-08T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '2011-03-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2010-10-18T00:00:00.000', 'filing_status': 'RENEWAL'}]",0,12,0,0,0,12,2.0,2.78,4.0,0.0,4.0,1.2200000000000002,,,
1003910007,M3,5057,8307,                                        ,                                   ,GERMAN EVAN LUTH TRIN,M3,5057,8307,                                        ,                                   ,GERMAN EVAN LUTH TRIN,M3,5057,8307,                                        ,                                   ,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSID,M3,5057,8307,                                        ,                                   ,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSID,M3,5057,8307,,,TRINITY LOWER EASTSIDE LUTHERAN PAR,M3,5057,8307,,,TRINITY LOWER EASTSIDE LUTHERAN PAR,103.0,602 EAST 9 STREET,989741.0,203794.0,"[{'job_type': 'A2', 'work_type': 'MH', 'date': '2012-06-18T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2012-02-01T00:00:00.000', 'filing_status': 'INITIAL'}]",0,2,0,0,0,2,2.0,1.64,4.0,0.0,4.0,2.3600000000000003,,,
1003920004,M1,2139,6440,                                        ,                                   ,NY GOSPEL MISSION    ,M1,2139,6440,                                        ,                                   ,NY GOSPEL MISSION    ,M1,2139,6440,                                        ,                                   ,NY GOSPEL MISSION    ,M1,2139,6440,,,TOMPKINS SQUARE HOLDI,M1,2139,6440,,,TOMPKINS SQUARE HOLDI,M1,2139,6440,                                        ,                                   ,TOMPKINS SQUARE HOLDI,M1,2139,6440,,,TOMPKINS SQUARE HOLDI,M1,2139,6440,,,TOMPKINS SQUARE HOLDI,M1,2139,6440,,,TOMPKINS SQUARE HOLDI,M1,2139,6440,,,"TOMPKINS SQUARE HOLDINGS, LLC",M1,2139,6440,,,"TOMPKINS SQUARE HOLDINGS, LLC",103.0,149 AVENUE B,989820.0,203939.0,"[{'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'MH', 'date': '2014-02-13T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2014-02-13T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2016-12-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2017-01-24T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2017-01-24T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2019-06-05T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2019-10-07T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'EQ', 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2016-12-02T00:00:00.000', 'filing_status': 'RENEWAL'}]",18,4,1,0,0,23,2.0,3.01,4.0,0.0,4.0,0.9900000000000002,,,
1003990011,I5,32246,39246,                                        ,                                   ,RC CH MOST HOLY REDEE,I5,32246,39246,                                        ,                                   ,RC CH MOST HOLY REDEE,I5,32246,39246,                                        ,                                   ,RC CH MOST HOLY REDEE,I5,32246,39246,,,RC CH MOST HOLY REDEE,M9,32246,39246,,,RC CH MOST HOLY REDEE,M9,32246,39246,                                        ,                                   ,RC CH MOST HOLY REDEE,M9,32246,39246,,,RC CH MOST HOLY REDEE,M9,32246,39246,,,REDEMPTORIST OF FATHE,M9,32246,39246,,,RC CH MOST HOLY REDEE,M9,32246,39246,,,RC CH MOST HOLY REDEE,M9,32246,39246,,,RC CH MOST HOLY REDEE,103.0,206 EAST 4 STREET,988639.0,202911.0,"[{'job_type': 'A2', 'work_type': 'SP', 'date': '2004-02-23T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1994-06-10T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-01-14T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2012-02-29T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-07-31T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-06-23T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-06-23T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2003-04-15T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-07-22T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2004-02-05T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': 'PL', 'date': '2004-02-05T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '2005-01-07T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A1', 'work_type': None, 'date': '2003-06-23T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'BL', 'date': '1999-04-01T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-07-22T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '1995-06-15T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2012-04-17T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2004-09-08T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2012-04-17T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'CC', 'date': '2012-08-07T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'OT', 'date': '2003-04-15T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2004-09-08T00:00:00.000', 'filing_status': 'RENEWAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2004-09-08T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'SP', 'date': '2004-02-23T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '1994-06-10T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A2', 'work_type': 'PL', 'date': '1999-04-01T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2012-03-06T00:00:00.000', 'filing_status': 'INITIAL'}, {'job_type': 'A3', 'work_type': 'EQ', 'date': '2002-07-31T00:00:00.000', 'filing_status': 'RENEWAL'}]",5,10,13,0,0,28,2.0,1.22,4.0,0.0,4.0,2.78,,,
1003990051,M3,3408,13632,                                        ,                                   ,MISSN SOC HOLY REDEEM,M3,3408,13632,                                        ,                                   ,MISSN SOC HOLY REDEEM,M3,3408,13632,                                        ,                                   ,MISSN SOC HOLY REDEEM,M3,3408,13632,,,MISSN SOC HOLY REDEEM,M3,3408,13632,,,MISSN SOC HOLY REDEEM,M3,3408,13632,                                        ,                                   ,MISSN SOC HOLY REDEEM,M3,3408,13632,,,MISSN SOC HOLY REDEEM,M3,3408,13632,,,REDEMPTORIST OF FATHE,M3,3408,13632,,,REDEMPTORIST OF FATHE,M3,3408,13632,,,REDEMPTORIST OF FATHERS OF NEW YORK,M3,3408,13632,,,REDEMPTORIST OF FATHERS OF NEW YORK,103.0,173 EAST 3 STREET,988661.0,202858.0,[],0,0,0,0,0,0,2.0,4.0,4.0,0.0,4.0,0.0,,,
1004040002,S2,1510,5700,                                        ,                                   ,ALPHA Y OMEGA INC    ,S2,1510,5700,                                        ,                                   ,ALPHA Y OMEGA INC    ,S2,1510,5700,                                        ,                                   ,ALPHA Y OMEGA INC    ,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,                                        ,                                   ,ALPHA Y OMEGA INC    ,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,,,ALPHA Y OMEGA INC,M9,1510,5700,,,ALPHA Y OMEGA INC,103.0,168 AVENUE A,989325.0,204562.0,"[{'job_type': 'A3', 'work_type': 'EQ', 'date': '2016-07-28T00:00:00.000', 'filing_status': 'INITIAL'}]",0,0,1,0,0,1,2.0,3.77,4.0,0.0,4.0,0.23,,,
