bbl,bldguse_1,bldguse_2,years,X,Y,type
1008500004,M9,O1,2011 to 2012,987010.0,209039.0,Removed
1008600057,M3,V1,2015 to 2016,988690.0,210854.0,Removed
1008750065,M9,nan,2013 to 2014,,,Removed
1008770089,M9,O5,2018 to 2019,987931.0,208604.0,Removed
1008830064,M4,S5,2016 to 2017,989189.0,209724.0,Removed
1008980025,I9,M1,2016 to 2017,988715.0,206927.0,Added
1009060013,Z9,M1,2018 to 2019,989521.0,208821.0,Added
1009250031,M1,D1,2014 to 2015,989589.0,206998.0,Removed
1009960046,M1,H9,2010 to 2011,988521.0,214888.0,Removed
1010120029,M1,V1,2016 to 2017,987540.0,214369.0,Removed
1010390012,H9,M9,2012 to 2013,987389.0,216885.0,Added
1010600020,S3,M9,2015 to 2016,987026.0,217683.0,Added
1010720059,M9,G9,2011 to 2012,985059.0,216817.0,Removed
1011180048,M1,V1,2016 to 2017,989696.0,220840.0,Removed
1011500005,M4,W2,2016 to 2017,990290.0,224343.0,Removed
1011580018,V1,M1,2011 to 2012,988780.0,222144.0,Added
1011580134,M1,nan,2015 to 2016,988884.0,222326.0,Removed
1011700028,S2,M9,2015 to 2016,990014.0,224498.0,Added
1012340001,M1,nan,2010 to 2011,990537.0,226715.0,Removed
1012400042,M1,V1,2018 to 2019,991820.0,227919.0,Removed
1012830062,M1,nan,2015 to 2016,990548.0,214955.0,Removed
1012830063,M9,nan,2015 to 2016,990526.0,214967.0,Removed
1013120063,P8,M1,2014 to 2015,992715.0,216783.0,Added
1013230020,M9,Z4,2017 to 2018,992714.0,214232.0,Removed
1013260041,K4,M1,2017 to 2018,992901.0,215151.0,Added
1013690011,B9,M3,2011 to 2012,994858.0,215477.0,Added
1014170044,K9,M9,2011 to 2012,994121.0,217495.0,Added
1014330127,V1,M1,2011 to 2012,996563.0,220989.0,Added
1014360013,M1,V1,2016 to 2017,994778.0,216770.0,Removed
1014370015,M4,D3,2012 to 2013,994898.0,216946.0,Removed
1014720013,M1,A4,2011 to 2012,997439.0,220082.0,Removed
1014960041,M1,nan,2015 to 2016,995806.0,223268.0,Removed
1014980050,M1,nan,2018 to 2019,995827.0,223904.0,Removed
1015140010,M1,nan,2012 to 2013,996284.0,223184.0,Removed
1015440041,M2,nan,2017 to 2018,997339.0,221512.0,Removed
1016000030,M1,V1,2019 to 2020,998924.0,231181.0,Removed
1016200040,M1,V1,2017 to 2018,999282.0,230105.0,Removed
1016220013,M9,V1,2012 to 2013,999477.0,230852.0,Removed
1016450037,K4,M1,2016 to 2017,1000974.0,230416.0,Added
1017240036,M1,D2,2014 to 2015,1000347.0,233500.0,Removed
1017240049,M1,V1,2018 to 2019,1000133.0,233665.0,Removed
1017260044,H9,M9,2010 to 2011,1000454.0,234039.0,Added
1017260067,M1,D7,2013 to 2014,999988.0,234339.0,Removed
1017500030,M1,nan,2015 to 2016,1000991.0,232799.0,Removed
1017500156,M9,S3,2017 to 2018,1000691.0,233010.0,Removed
1017510028,M1,A5,2017 to 2018,1001060.0,233034.0,Removed
1017530065,M4,C0,2017 to 2018,1000934.0,233815.0,Removed
1017740033,M2,V1,2016 to 2017,1002008.0,232268.0,Removed
1017830011,M1,C1,2014 to 2015,1001430.0,230392.0,Removed
1017890034,V1,M9,2014 to 2015,1002358.0,231793.0,Added
1017890035,M1,V1,2012 to 2013,1002337.0,231805.0,Removed
1017890035,V1,M9,2014 to 2015,1002337.0,231805.0,Added
1017890036,L8,M1,2012 to 2013,1002315.0,231817.0,Added
1017890039,F1,M9,2012 to 2013,1002238.0,231859.0,Added
1018070024,M1,W2,2012 to 2013,1003125.0,229787.0,Removed
1018200006,M1,Z9,2014 to 2015,996864.0,230498.0,Removed
1018250041,M1,C7,2010 to 2011,997887.0,231528.0,Removed
1018410049,M1,B9,2012 to 2013,994925.0,230101.0,Removed
1018790012,M1,V1,2012 to 2013,993426.0,231486.0,Removed
1018960052,M1,V1,2017 to 2018,993740.0,233707.0,Removed
1018960052,V1,M9,2019 to 2020,993740.0,233707.0,Added
1019030047,O2,M9,2017 to 2018,998174.0,232313.0,Added
1019040041,M9,B3,2017 to 2018,998431.0,232470.0,Removed
1019050004,C7,M9,2011 to 2012,998068.0,232902.0,Added
1019050103,C7,M9,2011 to 2012,998060.0,232888.0,Added
1019060031,M1,C7,2016 to 2017,998770.0,232777.0,Removed
1019150027,M1,C3,2012 to 2013,999848.0,234892.0,Removed
1019150035,M1,V1,2017 to 2018,999972.0,234956.0,Removed
1019150064,K9,M9,2014 to 2015,999376.0,235242.0,Added
1019160003,M1,nan,2013 to 2014,,,Removed
1019160008,M1,nan,2010 to 2011,999554.0,235353.0,Removed
1019160013,M1,C3,2012 to 2013,999664.0,235291.0,Removed
1019160113,M9,C3,2017 to 2018,999681.0,235282.0,Removed
1019170038,M1,nan,2011 to 2012,1000145.0,235440.0,Removed
1019180054,M1,V1,2017 to 2018,999917.0,235862.0,Removed
1019230014,M2,P9,2016 to 2017,997194.0,232564.0,Removed
1019280024,M1,C2,2017 to 2018,997970.0,233504.0,Removed
1019290006,P4,M9,2011 to 2012,997741.0,233977.0,Added
1019300001,K9,M1,2011 to 2012,997780.0,234266.0,Added
1019500004,M1,nan,2015 to 2016,996857.0,234459.0,Removed
1019510007,M9,V1,2017 to 2018,997130.0,234656.0,Removed
1019530036,M1,N2,2019 to 2020,997885.0,234937.0,Removed
1019580021,M1,D6,2019 to 2020,998528.0,236022.0,Removed
1019580035,M1,D6,2017 to 2018,998588.0,236286.0,Removed
1019590053,M1,V1,2019 to 2020,998748.0,236813.0,Removed
1019600015,M1,V1,2019 to 2020,999058.0,236977.0,Removed
1019970029,M1,nan,2013 to 2014,995968.0,237002.0,Removed
1020230048,C0,M9,2017 to 2018,999787.0,237169.0,Added
1020300038,M1,V1,2014 to 2015,1000857.0,238651.0,Removed
1020410129,M9,A9,2016 to 2017,999094.0,237598.0,Removed
1020580056,M1,A9,2016 to 2017,998557.0,239335.0,Removed
1020620002,M9,V1,2017 to 2018,999153.0,240462.0,Removed
1020640050,V1,M4,2010 to 2011,999699.0,240830.0,Added
1020740032,V1,M9,2010 to 2011,998339.0,239385.0,Added
1020740119,M1,B1,2017 to 2018,998070.0,239486.0,Removed
1020840047,M3,S3,2018 to 2019,999367.0,241905.0,Removed
1021100001,K2,M9,2013 to 2014,1001025.0,243792.0,Added
1021230067,M1,D3,2012 to 2013,1001428.0,244972.0,Removed
1021290006,M9,K4,2012 to 2013,1001573.0,246686.0,Removed
1021290017,M1,I9,2012 to 2013,1001780.0,246539.0,Removed
1021370021,M1,V1,2013 to 2014,999861.0,244234.0,Removed
1021570022,K4,M9,2016 to 2017,1003312.0,249262.0,Added
1021620047,K9,M1,2015 to 2016,1002161.0,248410.0,Added
1021640052,M1,V1,2016 to 2017,1002464.0,249536.0,Removed
1021720028,M1,I5,2017 to 2018,1003657.0,253113.0,Removed
1021740076,M1,K2,2017 to 2018,1004662.0,253131.0,Removed
1021750070,K2,M9,2017 to 2018,1004503.0,253999.0,Added
1021770158,M1,V1,2016 to 2017,1000807.0,248853.0,Removed
1021800172,M1,P5,2017 to 2018,1002051.0,250112.0,Removed
1022010029,M1,W3,2017 to 2018,1006608.0,253451.0,Removed
1022260041,M9,W1,2010 to 2011,1005926.0,254640.0,Removed
1022430384,M1,B1,2015 to 2016,1007261.0,257000.0,Removed
1011310031,nan,M1,2013 to 2014,,,Added
1020940032,K1,M9,2012 to 2013,998172.0,240945.0,Added
1014360113,nan,M3,2014 to 2015,,,Added
1014360113,M3,V1,2018 to 2019,994832.0,216685.0,Removed
1019239052,nan,M3,2016 to 2017,,,Added
1000540040,nan,M1,2017 to 2018,,,Added
1022370016,nan,M1,2019 to 2020,,,Added
